step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len
1,12000,-0.000000,0.000000,17.735396,6.375000
2,12000,-0.321540,0.125000,27.987033,6.625000
3,12000,7.695891,0.250000,43.212718,25.625000
4,12000,4.107822,0.375000,48.282296,82.250000
5,12000,-4.915806,0.250000,46.776083,485.625000
6,12000,-0.000000,1.000000,49.901724,569.000000
7,12000,-0.000000,0.000000,46.848211,920.125000
8,12000,-0.000000,1.000000,50.199643,262.250000
9,12000,-0.000000,0.000000,45.271030,846.500000
10,12000,-0.000000,0.000000,49.280207,529.750000
11,12000,-0.000000,1.000000,49.800364,285.500000
12,12000,-0.000000,0.000000,49.364271,394.000000
13,12000,-0.000000,0.000000,49.325755,216.375000
14,12000,-0.000000,1.000000,50.121272,280.000000
15,12000,-0.000000,1.000000,49.742601,185.000000
16,12000,2.370311,0.875000,49.435622,298.000000
17,12000,-0.000000,0.000000,45.820037,986.375000
18,12000,-8.148056,0.625000,48.354139,632.750000
19,12000,-0.000000,1.000000,49.439461,333.000000
20,12000,9.168193,0.250000,49.309880,538.125000
21,12000,-0.000000,1.000000,49.820807,387.750000
22,12000,-16.188848,0.625000,48.829245,579.000000
23,12000,-16.572317,0.500000,49.081797,599.875000
24,12000,-7.037466,0.750000,48.372276,808.625000
25,12000,-0.000000,1.000000,49.774703,313.250000
26,12000,-0.000000,1.000000,49.827143,306.125000
27,12000,-0.000000,1.000000,49.498746,549.250000
28,12000,-0.000000,1.000000,50.078373,274.625000
29,12000,-0.000000,0.000000,45.152444,1349.875000
30,12000,-0.000000,1.000000,49.815969,390.750000
31,12000,-0.000000,1.000000,49.980860,266.750000
32,12000,-3.800499,0.500000,49.808158,358.750000
33,12000,-0.000000,1.000000,49.774407,447.500000
34,12000,-0.000000,1.000000,50.136395,261.750000
35,12000,-0.000000,1.000000,50.111469,313.375000
36,12000,-11.975923,0.500000,48.720856,960.000000
37,12000,-0.000000,1.000000,52.902979,361.000000
38,12000,-0.000000,1.000000,52.909098,160.000000
39,12000,-0.000000,0.000000,52.576300,423.625000
40,12000,-0.000000,1.000000,52.815853,408.750000
41,12000,-0.000000,1.000000,52.800371,219.625000
42,12000,-9.067830,0.625000,52.059697,397.500000
43,12000,2.825979,0.625000,49.331757,481.500000
44,12000,-0.000000,1.000000,49.442934,570.000000
45,12000,-0.000000,1.000000,49.932847,283.000000
46,12000,-0.000000,1.000000,49.779364,358.375000
47,12000,-41.457378,0.125000,44.941172,1489.500000
48,12000,-0.000000,1.000000,49.551077,388.250000
49,12000,-40.421082,0.875000,47.184583,895.000000
50,12000,-0.000000,1.000000,50.138511,340.375000
51,12000,-0.000000,1.000000,49.924686,396.750000
52,12000,-8.813202,0.500000,46.203374,611.125000
53,12000,-0.000000,1.000000,50.077242,315.750000
54,12000,-0.000000,1.000000,49.730769,412.000000
55,12000,-0.000000,1.000000,49.578273,346.375000
56,12000,-0.000000,0.000000,50.129434,230.750000
57,12000,-12.397053,0.750000,49.749876,299.875000
58,12000,-0.831920,0.875000,49.297208,538.250000
59,12000,1.047626,0.500000,49.930512,417.750000
60,12000,15.099721,0.125000,46.995889,971.750000
61,12000,-0.000000,0.000000,50.141525,540.500000
62,12000,-0.000000,1.000000,49.510600,503.625000
63,12000,-0.000000,1.000000,46.880910,459.375000
64,12000,-0.000000,1.000000,50.095895,312.500000
65,12000,-0.000000,1.000000,49.491859,338.250000
66,12000,-14.443024,0.375000,46.267675,975.500000
67,12000,-0.000000,0.000000,46.237551,1003.625000
68,12000,-37.996735,0.750000,48.493200,760.500000
69,12000,-48.078873,0.750000,47.131511,746.250000
70,12000,-0.000000,1.000000,49.836130,177.000000
71,12000,-0.000000,1.000000,49.592706,392.250000
72,12000,-0.000000,1.000000,49.332611,596.500000
73,12000,-0.000000,1.000000,49.578987,553.375000
74,12000,-0.000000,1.000000,49.782613,298.000000
75,12000,-21.215538,0.375000,42.848655,804.500000
76,12000,-0.000000,1.000000,49.892780,297.375000
77,12000,1.735415,0.625000,49.132063,618.250000
78,12000,-0.000000,1.000000,49.746795,378.000000
79,12000,-0.000000,1.000000,49.289473,588.750000
80,12000,-65.452820,0.250000,45.390695,1348.125000
81,12000,-0.000000,1.000000,51.249588,572.500000
82,12000,12.177089,0.250000,51.060877,619.875000
83,12000,-0.000000,1.000000,51.205916,273.500000
84,12000,-0.000000,1.000000,48.665640,714.625000
